"iid","match","pid","decision","decision_count","like","like_total","gender","attr_self","sinc_self","fun_self","intel_self","amb_self","attr","sinc","intel","fun","amb","shar","goal","first_round","last_round","same_field","same_origin"
1,0,11,"1",7,7,14,"0",6,8,8,8,7,6,9,7,7,6,5,3,"0","0","0","0"
1,0,12,"1",7,7,15,"0",6,8,8,8,7,7,8,7,8,5,6,3,"0","0","1","0"
1,1,13,"1",7,7,17,"0",6,8,8,8,7,5,8,9,8,5,7,3,"0","1","1","0"
1,1,14,"1",7,7,14,"0",6,8,8,8,7,7,6,8,7,6,8,3,"0","0","1","0"
1,1,15,"1",7,6,14,"0",6,8,8,8,7,5,6,7,7,6,6,3,"0","0","1","0"
1,0,16,"0",7,6,13,"0",6,8,8,8,7,4,9,7,4,6,4,3,"0","0","0","0"
1,0,17,"1",7,6,8,"0",6,8,8,8,7,7,6,7,4,6,7,3,"1","0","0","0"
1,0,18,"0",7,6,13,"0",6,8,8,8,7,4,9,7,6,5,6,3,"0","0","0","0"
1,0,20,"1",7,6,12,"0",6,8,8,8,7,5,6,6,8,10,8,3,"0","0","0","0"
2,0,11,"0",4,6,13,"0",7,5,10,8,3,5,7,8,4,6,3,2,"0","1","0","0"
2,0,12,"0",4,7,15,"0",7,5,10,8,3,8,5,6,6,9,6,2,"0","0","1","0"
2,0,13,"0",4,6,16,"0",7,5,10,8,3,5,8,9,6,3,4,2,"0","0","1","0"
2,1,14,"1",4,7,16,"0",7,5,10,8,3,7,9,7,6,5,7,2,"1","0","1","0"
2,0,15,"0",4,8,18,"0",7,5,10,8,3,6,8,7,9,7,8,2,"0","0","1","0"
2,0,16,"0",4,6,13,"0",7,5,10,8,3,8,7,8,3,6,2,2,"0","0","0","0"
2,0,17,"1",4,8,12,"0",7,5,10,8,3,7,5,9,6,7,9,2,"0","0","0","0"
2,0,18,"0",4,5,12,"0",7,5,10,8,3,5,8,7,5,9,5,2,"0","0","0","0"
2,1,19,"1",4,5,13,"0",7,5,10,8,3,7,6,8,9,4,5,2,"0","0","0","0"
2,0,20,"1",4,8,14,"0",7,5,10,8,3,6,7,8,7,9,8,2,"0","0","0","0"
4,0,11,"0",3,6,12,"0",7,8,9,7,8,4,10,8,5,8,7,2,"0","0","0","0"
4,0,12,"0",3,8,14,"0",7,8,9,7,8,8,7,8,10,7,8,2,"0","0","1","0"
4,0,13,"0",3,4,14,"0",7,8,9,7,8,4,7,8,8,6,7,2,"0","0","1","0"
4,1,14,"1",3,8,16,"0",7,8,9,7,8,8,10,7,10,7,10,2,"0","0","1","0"
4,0,15,"0",3,7,16,"0",7,8,9,7,8,6,9,8,9,8,9,2,"0","0","1","0"
4,0,16,"0",3,4,10,"0",7,8,9,7,8,5,10,8,4,8,2,2,"0","0","0","0"
4,0,17,"0",3,5,11,"0",7,8,9,7,8,7,10,10,7,10,5,2,"0","1","0","0"
4,0,18,"0",3,6,13,"0",7,8,9,7,8,5,9,9,5,9,7,2,"1","0","0","0"
4,1,19,"1",3,8,16,"0",7,8,9,7,8,9,8,10,10,7,8,2,"0","0","0","0"
4,0,20,"1",3,10,17,"0",7,8,9,7,8,8,9,10,10,8,8,2,"0","0","0","0"
5,0,11,"0",6,7,13,"0",6,3,6,10,8,5,8,8,2,2,2,3,"1","0","0","0"
5,0,12,"0",6,6,13,"0",6,3,6,10,8,8,6,6,5,5,5,3,"0","1","1","0"
5,0,13,"0",6,6,16,"0",6,3,6,10,8,4,6,8,8,6,5,3,"0","0","1","0"
5,1,14,"1",6,8,15,"0",6,3,6,10,8,8,5,5,7,7,9,3,"0","0","1","0"
5,0,15,"0",6,7,12,"0",6,3,6,10,8,6,7,7,5,4,8,3,"0","0","1","0"
5,0,16,"1",6,7,13,"0",6,3,6,10,8,5,6,7,5,7,8,3,"0","0","0","0"
5,0,17,"1",6,6,9,"0",6,3,6,10,8,6,6,8,5,5,6,3,"0","0","0","0"
5,0,18,"1",6,6,12,"0",6,3,6,10,8,5,5,7,6,7,5,3,"0","0","0","0"
5,1,19,"1",6,9,16,"0",6,3,6,10,8,7,5,7,8,7,9,3,"0","0","0","0"
5,0,20,"1",6,10,14,"0",6,3,6,10,8,9,6,7,9,6,5,3,"0","0","0","0"
6,0,11,"1",6,6,13,"0",5,7,8,9,5,6,9,7,6,7,6,2,"0","0","0","0"
6,0,12,"1",6,7,14,"0",5,7,8,9,5,6,9,9,6,8,2,2,"0","0","1","0"
6,0,13,"0",6,6,16,"0",5,7,8,9,5,4,7,9,4,3,2,2,"1","0","1","0"
6,1,14,"1",6,9,16,"0",5,7,8,9,5,8,6,7,8,2,8,2,"0","0","1","0"
6,0,15,"0",6,4,13,"0",5,7,8,9,5,5,4,8,8,4,2,2,"0","0","1","0"
6,0,16,"0",6,2,8,"0",5,7,8,9,5,3,7,6,1,1,1,2,"0","0","0","0"
6,0,17,"1",6,8,11,"0",5,7,8,9,5,8,8,8,8,3,4,2,"0","0","0","0"
6,0,18,"0",6,5,12,"0",5,7,8,9,5,4,8,9,2,8,3,2,"0","0","0","0"
6,1,19,"1",6,9,15,"0",5,7,8,9,5,7,6,8,8,6,9,2,"0","0","0","0"
6,0,20,"1",6,9,15,"0",5,7,8,9,5,8,9,9,9,10,7,2,"0","1","0","0"
7,0,11,"0",4,7,14,"0",6,6,5,7,7,4,8,8,5,7,4,2,"0","0","0","0"
7,0,12,"0",4,7,15,"0",6,6,5,7,7,6,6,8,4,9,4,2,"1","0","1","0"
7,0,13,"0",4,7,17,"0",6,6,5,7,7,3,6,8,7,8,8,2,"0","0","1","1"
7,1,14,"1",4,8,16,"0",6,6,5,7,7,7,8,8,7,7,6,2,"0","0","1","0"
7,0,15,"0",4,5,13,"0",6,6,5,7,7,4,7,7,4,8,5,2,"0","0","1","0"
7,0,16,"0",4,5,12,"0",6,6,5,7,7,4,8,7,4,5,4,2,"0","0","0","0"
7,0,17,"1",4,8,13,"0",6,6,5,7,7,7,7,8,7,7,7,2,"0","0","0","0"
7,0,18,"0",4,5,12,"0",6,6,5,7,7,5,7,8,5,9,5,2,"0","1","0","0"
7,1,19,"1",4,6,15,"0",6,6,5,7,7,6,6,8,8,8,6,2,"0","0","0","0"
7,0,20,"1",4,7,14,"0",6,6,5,7,7,8,6,7,7,8,6,2,"0","0","0","0"
8,0,11,"1",10,4,11,"0",7,4,8,8,8,5,8,7,4,7,5,2,"0","0","0","0"
8,1,12,"1",10,8,17,"0",7,4,8,8,8,8,7,7,9,6,7,2,"0","0","0","0"
8,1,13,"1",10,5,15,"0",7,4,8,8,8,5,8,8,6,7,7,2,"0","0","0","0"
8,1,14,"1",10,5,13,"0",7,4,8,8,8,8,6,5,6,6,5,2,"0","0","0","0"
8,1,15,"1",10,6,15,"0",7,4,8,8,8,6,8,8,5,6,7,2,"0","1","0","0"
8,1,16,"1",10,6,13,"0",7,4,8,8,8,6,8,8,5,6,7,2,"0","0","0","0"
8,0,17,"1",10,6,10,"0",7,4,8,8,8,6,7,8,5,7,7,2,"0","0","1","0"
8,1,18,"1",10,5,12,"0",7,4,8,8,8,5,6,7,4,5,6,2,"0","0","0","0"
8,1,19,"1",10,7,15,"0",7,4,8,8,8,8,8,5,9,8,9,2,"1","0","0","0"
8,1,20,"1",10,8,16,"0",7,4,8,8,8,7,6,8,7,9,8,2,"0","0","0","0"
9,0,11,"1",10,5,11,"0",7,6,10,7,7,8,10,9,8,7,6,2,"0","0","0","0"
9,1,12,"1",10,10,18,"0",7,6,10,7,7,10,10,10,10,10,10,2,"0","0","0","0"
9,1,13,"1",10,8,18,"0",7,6,10,7,7,5,10,10,6,6,6,2,"0","0","0","0"
9,1,14,"1",10,7,14,"0",7,6,10,7,7,10,9,8,8,7,7,2,"0","0","0","0"
